leiden_res1pt5_dist0_npc50,names,scores,logfoldchanges,pvals,pvals_adj
0,ACTG2,234.10245,3.4682326,0.0,0.0
0,CNN1,232.87976,6.7285237,0.0,0.0
0,DES,232.69891,7.290696,0.0,0.0
0,MYLK,229.55414,5.3615746,0.0,0.0
0,MYH11,228.41173,6.692974,0.0,0.0
0,CSRP1,222.2084,4.7352524,0.0,0.0
0,FLNA,220.07718,4.103467,0.0,0.0
0,TAGLN,205.64496,5.0589623,0.0,0.0
0,PLN,194.43108,5.455649,0.0,0.0
0,RGS5,152.53296,4.259901,0.0,0.0
0,ENAH,135.54724,3.4427574,0.0,0.0
0,LPP,126.71997,3.3692143,0.0,0.0
0,PDLIM7,119.03305,3.2533596,0.0,0.0
0,COL4A2,90.263435,2.6409607,0.0,0.0
0,RAMP1,86.49675,2.7692475,0.0,0.0
0,NACC2,78.84087,2.4608924,0.0,0.0
0,LNPEP,69.8848,1.9629517,0.0,0.0
0,NR4A1,68.17662,2.5492616,0.0,0.0
0,ACTA2,67.83902,2.1931188,0.0,0.0
0,ITPKB,65.429634,1.8652644,0.0,0.0
0,HSPA1A,61.433376,1.7769766,0.0,0.0
0,COL4A1,54.87836,1.9434733,0.0,0.0
0,PEG10,54.775368,2.5654883,0.0,0.0
0,SETD3,54.729836,1.5717579,0.0,0.0
0,NCKAP1,51.865597,1.6708723,0.0,0.0
0,S100B,51.45503,1.869192,0.0,0.0
0,AQP1,50.636112,1.3715161,0.0,0.0
0,HOXA3,49.98437,2.1827939,0.0,0.0
0,JAM2,46.478508,1.3376526,0.0,0.0
0,HSPA1B,44.099083,1.347706,0.0,0.0
0,TLE1,39.99642,1.172596,0.0,0.0
0,DLC1,39.91869,1.1740063,0.0,0.0
0,HOXA5,39.17677,2.027657,0.0,0.0
0,SORBS2,36.937004,1.3214386,1.177554906870445e-298,4.931011172519989e-298
0,NKX2-3,34.215744,1.4910026,1.4105004346770578e-256,5.37824962490683e-256
0,REV3L,30.633585,1.1018344,4.3725198373138567e-206,1.4968699297081745e-205
0,STAT5B,30.118822,0.9075572,2.7474173838282956e-199,9.337237340691816e-199
0,CRYZL1,29.676058,0.9008718,1.5642989803443654e-193,5.240401584153625e-193
0,JAZF1,25.903902,1.1985034,6.018560975314924e-148,1.797901335938025e-147
0,NFIX,25.16052,0.8784003,1.0841317312285202e-139,3.119372895375313e-139
0,SELENOM,24.68734,0.7681958,1.462767990530739e-134,4.108013099155189e-134
0,CAMTA1,24.386074,0.91659635,2.4033446379254953e-131,6.630403736394455e-131
0,TPD52L2,22.699133,0.8138302,4.5691233422334034e-114,1.2175675269928784e-113
0,BECN1,22.645332,0.6865421,1.5509539075228255e-113,4.1095897323627407e-113
0,KCNN3,20.017704,0.6618375,3.861080333843934e-89,9.530771981962132e-89
0,TET2,19.411642,0.58283544,6.152996634542001e-84,1.4798745751795889e-83
0,HOXA7,19.195145,1.6904517,4.063556767506081e-82,9.723510836532408e-82
0,FOXP1,18.910288,0.99162877,9.384464848417613e-80,2.211715584878322e-79
0,SYT11,18.270525,0.6618517,1.4207778688204165e-74,3.250462538911099e-74
0,STAT5A,17.045038,0.49752167,3.804933480064952e-65,8.49768477214506e-65
0,NET1,16.952806,0.96404433,1.8348420207476084e-64,4.07839292763331e-64
0,F3,16.800344,0.40716285,2.4263200944849602e-63,5.342460677527917e-63
0,TEF,16.76018,1.0620977,4.771765127746321e-63,1.0457746938845909e-62
0,COX8A,15.723916,0.45034733,1.0371023035901899e-55,2.1333376332622766e-55
0,RSL1D1,15.665411,0.6298708,2.6073834222545553e-55,5.340012336407801e-55
0,ATP6V0A1,14.802193,0.43545434,1.417845497826421e-49,2.8176675359347095e-49
0,HOXA4,14.726296,1.2919775,4.370055930424606e-49,8.575549085226529e-49
0,MT1E,13.0314665,0.6733318,8.103470201443569e-39,1.478804484232309e-38
0,RIMS1,12.747932,1.6711518,3.2012328106745177e-37,5.774531493101342e-37
0,ICMT,11.575623,0.3287069,5.477249601315231e-31,9.621086378340237e-31
0,HOXA2,11.466332,1.5349804,1.9473968187903046e-30,3.407944432883033e-30
0,ZMIZ1,10.56288,0.2908234,4.4286512854084953e-26,7.417990903059231e-26
0,POLR2E,9.35059,0.27746144,8.716052970456408e-21,1.3951634276942168e-20
0,TFDP1,9.224265,0.22788078,2.855130444769165e-20,4.554612852369858e-20
0,SPRY2,8.520406,0.29191044,1.5899492828088122e-17,2.510727992044892e-17
0,TNFSF15,8.152897,0.6381374,3.553096611325182e-16,5.554674369038368e-16
0,MTOR,7.727716,0.16726959,1.0949316941738178e-14,1.683681851041051e-14
0,PRDX6,7.404149,0.43561172,1.3199428574355616e-13,2.0164599353005812e-13
0,CREM,7.378933,0.14494708,1.5956299155671833e-13,2.4297091896136656e-13
0,SNN,7.3638096,0.18987061,1.7873452995913046e-13,2.712831538861883e-13
0,WSB1,7.3075294,0.7455989,2.720988451607181e-13,4.116592205818606e-13
0,ARIH2,7.2848864,0.14703822,3.2194144128360547e-13,4.855001156334758e-13
0,KAT2A,6.97819,0.15937796,2.9900771920585727e-12,4.396069602117462e-12
0,CD81,6.9709506,0.18116543,3.1480611353935346e-12,4.599503652646628e-12
0,TUBA1B,6.2995696,1.021777,2.9847362839143397e-10,4.203727679146622e-10
0,EGR2,4.8402224,1.0484488,1.2969399706688792e-06,1.72802513137416e-06
0,PAF1,4.6110625,0.05624825,4.006162760586308e-06,5.248297024343515e-06
0,PPARA,4.4401855,0.027854815,8.988132023046622e-06,1.1612765616553349e-05
0,STIP1,4.383021,0.115766324,1.170448325460781e-05,1.503945930523579e-05
0,TMEM50B,4.3099046,0.1088164,1.6332499872743715e-05,2.0871777766530796e-05
0,SLC2A4RG,4.2078724,0.21838103,2.5778630341793908e-05,3.2764709025206894e-05
0,ADO,3.9559498,0.021576924,7.623114884764737e-05,9.610862583211455e-05
0,UQCRC1,3.3385744,0.3112086,0.0008420948876949814,0.0010311814682217918
0,KCNA2,2.690115,0.17479233,0.0071427409282384625,0.008567635537963782
0,ZNF513,2.4170198,0.08475355,0.015648163009493274,0.018301716836539514
0,CUL9,2.3440218,-0.08778751,0.01907705154882162,0.022201332943913996
0,CCDC71,2.2480998,-0.025119347,0.024569822108799433,0.028382380711889
0,HSPB1,1.892085,1.4519773,0.05847967015589436,0.06561474952898194
0,ERCC4,1.699258,-0.06364631,0.08927059518197981,0.09874506872723711
0,RABEP1,1.6722121,-0.011292549,0.09448250264726288,0.10401946887691617
0,IL33,0.9579164,-0.10553014,0.3381049408128691,0.35957192118194015
0,LRP3,0.77933747,0.4021003,0.4357809578079731,0.459283751038066
0,CMC1,0.623438,-0.16085373,0.5329967495749961,0.5555010567792737
0,ZNF300,0.5266855,-0.069493234,0.5984120291546358,0.6195479948642918
0,ZBTB12,0.36666372,-0.18525608,0.7138698723104564,0.726895587282752
0,HOXA6,0.19669932,0.8503252,0.8440628374422628,0.8522035749724655
0,IL13,0.11439805,0.07127565,0.908922260979034,0.9128148616684516
0,IL4,-0.050193217,-0.5446924,0.9599684181657026,0.9599684181657026
0,PLAGL2,-0.07478284,-0.26249912,0.9403874919069148,0.942396866889622
0,MMP11,-0.11899588,-0.33465365,0.9052786169840609,0.9111065909131428
0,RETN,-0.1955846,-3.8007667,0.8449353142051097,0.8522035749724655
0,BEST4,-0.2626823,-0.8056574,0.7927954606329402,0.8030692678981618
0,BEST2,-0.36374772,-1.6180675,0.7160463994128602,0.726895587282752
0,HBG2,-0.36500627,-0.9935542,0.7151067292862727,0.726895587282752
0,CSF2,-0.37182954,-3.3883984,0.7100197747727967,0.72548861518179
0,IL22,-0.38159332,-0.897146,0.7027630441043431,0.7196416324998622
0,HOXA11,-0.40458912,-1.5253907,0.685779549979977,0.7037868904608516
0,ZGLP1,-0.46562925,-0.78070354,0.6414809121226122,0.6597687451436516
0,CD7,-0.5010652,-2.736634,0.6163252271282162,0.6352890802706229
0,HAS1,-0.51139677,-1.7618563,0.6090732712856417,0.6291968375175462
0,CSF3,-0.569105,-3.0479665,0.5692848788240097,0.5906960357709304
0,TBX21,-0.6138914,-3.5473976,0.5392870929359439,0.5608107463125448
0,IFNG,-0.6337714,-1.402995,0.526230016623424,0.549670106450748
0,BSN,-0.6470999,-0.82305574,0.517567279786979,0.5418282460269936
0,RSBN1,-0.7129897,-0.08785069,0.4758521249054741,0.49927214000149295
0,IRGM,-0.7271944,-2.4379547,0.4671068658734209,0.4911953365350547
0,TMEM88,-0.8383214,-0.97211343,0.4018502116608188,0.4244769127678469
0,SOCS3,-0.84822196,-1.2964771,0.3963143672810612,0.41957435271967874
0,TPD52L1,-0.94148064,-0.31082088,0.34645862031576957,0.3676223821902623
0,GPIHBP1,-0.97295505,-1.2840093,0.33057563321840666,0.3523635726805289
0,TMEM217,-1.012721,-1.8048784,0.31119348908470723,0.3324595589538216
0,IL21,-1.0310553,-1.6957359,0.3025148708107469,0.32392574066264906
0,PRND,-1.0621326,-1.3157933,0.288175474456158,0.30927756869551054
0,LGR5,-1.0628892,-2.6057804,0.28783218570879043,0.30927756869551054
0,GPX4,-1.2082465,-0.41966546,0.2269524705622168,0.24469128435328663
0,ATF4,-1.3149074,0.78621805,0.18854101389851752,0.2037459343742044
0,KCNS3,-1.3497689,-0.5400908,0.1770901135145515,0.19181354096610775
0,ITGB5,-1.3886721,-0.17351338,0.16493248928997162,0.17905865156712197
0,IL23R,-1.3909281,-2.2335796,0.16424722182182372,0.1787284153931214
0,TMEM91,-1.4354905,-0.6046695,0.15114736304918053,0.16485607737224572
0,CSRP2,-1.4957216,-0.22022086,0.13472622845621846,0.1472881145593624
0,FOSL1,-1.5786021,-1.5477009,0.11442737100286014,0.1253888714961248
0,ZFP91,-1.6705625,0.2058688,0.09480812098366558,0.10413350993287859
0,CLEC9A,-1.6762569,-1.4973532,0.09368788769665422,0.10338733959936666
0,SPHK2,-1.7529587,-0.5354776,0.07960910548746232,0.08826636045773009
0,LTA,-1.7539098,-3.3806276,0.07944596796334619,0.08826636045773009
0,HOXA9,-1.8405346,-1.3039815,0.06568979076431718,0.07317936310799229
0,APOC1,-1.8490702,-2.6955743,0.06444767845980204,0.07196657428011227
0,CELSR3,-1.8705436,-1.6042194,0.061408374610883436,0.06873634294153778
0,NPY,-1.9550629,-3.2632096,0.05057564644983156,0.05688244169057795
0,DOCK3,-1.970511,-1.2615706,0.048779833872043814,0.054994572322087855
0,PTGER4,-1.9919999,-0.32611072,0.046371066791326465,0.05240489234971593
0,ATG16L1,-1.9994804,-0.22707444,0.045556404063747474,0.05160858334757866
0,MUC5B,-2.01332,-3.8451836,0.0440809769027756,0.050058058516711273
0,HOXA13,-2.0254118,-2.6805954,0.042825089959729,0.04874992036677889
0,LRRC3B,-2.0350695,-1.737762,0.04184388880090439,0.04774886580930452
0,CDKN2A,-2.0538473,-1.7943196,0.03999048226977904,0.045745210206161874
0,STK11,-2.210142,-0.1296722,0.02709531898928893,0.031070182410700507
0,H2AFX,-2.2262654,-0.5850294,0.02599640381591142,0.029883121053094253
0,IL11,-2.2292185,-3.9988089,0.02579937522562128,0.02972950118136703
0,HOXA1,-2.3022892,-1.5337738,0.02131886039204672,0.02468776672560472
0,IL10,-2.314983,-2.44316,0.02061387321436932,0.023930461726582204
0,ZBTB46,-2.405627,-2.1002975,0.016144733489613785,0.018835522404549415
0,ANOS1,-2.4172595,-2.1917648,0.015637870865448142,0.018301716836539514
0,ZGPAT,-2.4201105,-0.46579674,0.015515788661024363,0.018237856847168988
0,SUCNR1,-2.4510632,-1.9557757,0.01424349395930208,0.016784418761087126
0,LINC00682,-2.511465,-4.7856073,0.01202311732511957,0.014203632305997678
0,AIRE,-2.5559962,-1.922154,0.010588431408244975,0.012540339218350741
0,ZNF365,-2.5974817,-2.8003855,0.009391013835292684,0.011150343009499415
0,CCL8,-2.602749,-2.1419783,0.009247962114396248,0.011008360994040204
0,PROX1,-2.6571026,-0.99490356,0.0078815451616457,0.009405711656009754
0,BCAN,-2.6684635,-6.757299,0.007619908907682778,0.009116676728834752
0,SKAP2,-2.7041938,-0.26916414,0.006847035507141492,0.008233999109870153
0,TECR,-2.7054148,-1.0053396,0.006821913900155313,0.008224878198387768
0,TRIM26,-2.742904,-0.3173599,0.006089848299575199,0.007361182609538063
0,OSM,-2.9309955,-3.876999,0.0033787779662792397,0.004094694744663988
0,IGFBP7,-3.2123742,0.75866467,0.0013164275562019985,0.0015994935851262626
0,HIPK1,-3.239828,-0.17556803,0.0011960182431514975,0.001456967678020915
0,TMEM98,-3.2902005,-0.46262053,0.0010011604197508006,0.0012227714501643894
0,ZFP90,-3.356895,-0.354984,0.0007882303687815117,0.0009677488035563587
0,EFNA1,-3.4039745,-0.72509724,0.000664129652298879,0.0008175244276330033
0,KLRC1,-3.4108987,-4.1981235,0.0006474914027180971,0.0007991407049336514
0,TK1,-3.419382,-2.4010923,0.0006276350518247851,0.0007766776762686654
0,NKG7,-3.4331064,-2.5607746,0.0005967078743273082,0.0007403597699986972
0,IL5RA,-3.4365895,-2.3595672,0.0005890877566919141,0.0007328439201286675
0,KCNA5,-3.4781854,-1.6594138,0.0005048207388297633,0.0006296833151892526
0,HOXA10,-3.672499,-2.2925982,0.0002401901056878258,0.0003003977588469075
0,IL1A,-3.8442814,-4.0201225,0.00012090622715923547,0.00015161770197241026
0,ERCC1,-3.8972578,-0.46241632,9.72880692986486e-05,0.00012232735791170563
0,RIPK3,-4.002633,-2.8539865,6.264143179968539e-05,7.918822510526267e-05
0,BATF3,-4.199921,-2.8185177,2.670080806717038e-05,3.384507833379164e-05
0,TSPO,-4.26571,-1.290915,1.9926778510205993e-05,2.5395812829583182e-05
0,MATK,-4.315983,-3.5763304,1.588942086538693e-05,2.036103384116522e-05
0,TNF,-4.4087806,-2.7282162,1.039541708321987e-05,1.3394095087994832e-05
0,HHIP,-4.4519033,-2.614832,8.511239421065202e-06,1.1026992509612098e-05
0,METRNL,-4.4612575,-0.68553245,8.148011610473686e-06,1.0585643892831465e-05
0,CRIP2,-4.488907,-1.1008159,7.1589611232560946e-06,9.326535463353079e-06
0,PCLAF,-4.5162477,-3.135739,6.294495599823541e-06,8.223171131802899e-06
0,PDGFRA,-4.630206,-0.18299487,3.6530214703485606e-06,4.799067421830462e-06
0,RORC,-4.6470766,-3.384962,3.36672478256056e-06,4.435376188260962e-06
0,TMEM171,-4.7126803,-4.2386947,2.4447960103633187e-06,3.2298854334095677e-06
0,POU5F1,-4.7390485,-1.4362248,2.1472389786511677e-06,2.8447883643711796e-06
0,PITX1,-4.793115,-4.721371,1.6421131965095396e-06,2.1817311307732977e-06
0,GNLY,-4.8893547,-6.0210075,1.0116705119090487e-06,1.3517762680494127e-06
0,CMA1,-4.9647985,-4.446368,6.877241957004019e-07,9.215504222385385e-07
0,SH2B1,-5.0096216,-0.55434155,5.453710477467949e-07,7.328911787772115e-07
0,IMPDH2,-5.021165,-0.26389307,5.135904564448075e-07,6.92166448484525e-07
0,MYRF,-5.0832653,-2.3302681,3.71000588382428e-07,5.014388355946938e-07
0,AP4B1,-5.2599454,-0.72128904,1.4409813898910305e-07,1.953237779938998e-07
0,LRRK2,-5.5905623,-0.59752405,2.2633544394294793e-08,3.076849948093988e-08
0,BMP5,-5.7133656,-3.1181567,1.1076335568599025e-08,1.5101166807188786e-08
0,IL6,-5.818059,-2.2067845,5.953484339648421e-09,8.140478586866209e-09
0,CH25H,-5.8331246,-2.190853,5.439893255751898e-09,7.459970575870294e-09
0,IGFBP3,-5.878591,-0.59243137,4.137729422955671e-09,5.690894719549002e-09
0,LST1,-5.97002,-2.8512466,2.3722452421663722e-09,3.272302995811849e-09
0,UNC5B,-6.0524306,-1.429246,1.4267633945338873e-09,1.973899799517384e-09
0,MIER1,-6.0766797,-0.16662407,1.226965749626658e-09,1.7025057295115463e-09
0,PDLIM5,-6.1243653,0.13471372,9.104569003998485e-10,1.267075033494151e-09
0,IL3RA,-6.1423607,-1.2426178,8.130389383789188e-10,1.1348668514872408e-09
0,IL34,-6.15851,-1.5031248,7.343240034556069e-10,1.0280536048378497e-09
0,SYT1,-6.2694583,-4.9663844,3.623058361638579e-10,5.087468178468544e-10
0,TOP2A,-6.324581,-2.3745701,2.539205022057762e-10,3.5870095040514774e-10
0,MFN1,-6.438587,-0.35056883,1.205908445044436e-10,1.7086738994738382e-10
0,SATB2,-6.45497,-1.7953416,1.0824046181671014e-10,1.5383265633950624e-10
0,PFKFB4,-6.5172844,-1.8667909,7.15916667028928e-11,1.0205620572540036e-10
0,RPA3,-6.5504622,-0.8926415,5.73593180710514e-11,8.201682980281436e-11
0,C5orf30,-6.620326,-1.241529,3.584079996349671e-11,5.1404694748868374e-11
0,SLC26A6,-6.7599587,-1.1766298,1.3803119856470276e-11,1.9857862615596807e-11
0,BACH2,-6.7805724,-0.97679,1.1970084906189234e-11,1.727375329539308e-11
0,TNFRSF9,-6.8960443,-3.6710477,5.3470506590496555e-12,7.740020861402125e-12
0,CXCL11,-6.9183865,-3.5079799,4.568174042007106e-12,6.6330452808090794e-12
0,CEBPA,-6.9488826,-2.612957,3.681911236640957e-12,5.362783757716176e-12
0,GZMB,-6.9735246,-4.839018,3.090970011824951e-12,4.530202923580944e-12
0,TNIP3,-6.991451,-3.3004265,2.7205770316182026e-12,4.012423357952632e-12
0,CYLD,-7.0191846,-0.5711685,2.2316642006982077e-12,3.301736625007758e-12
0,SNAPC4,-7.042943,-0.98729664,1.882212233588472e-12,2.7935365112436502e-12
0,ESRRA,-7.054374,-0.93863535,1.7337940979867934e-12,2.58142676811367e-12
0,HSD11B1,-7.1454873,-2.2788649,8.96772975593721e-13,1.33944753360973e-12
0,ZG16,-7.221664,-4.276851,5.135518313516417e-13,7.695073766898399e-13
0,FOLR2,-7.2286553,-2.1520834,4.877991661055774e-13,7.332622080240892e-13
0,CCL20,-7.498815,-3.8097715,6.43973971906566e-14,9.870058589025473e-14
0,ZBTB38,-7.841018,0.09246819,4.469081566821834e-15,6.8947343909192114e-15
0,CCL25,-8.04292,-3.4042745,8.772246526706922e-16,1.357816376576088e-15
0,CLEC3B,-8.091101,-2.3892403,5.912813644634378e-16,9.18248211699842e-16
0,MUC4,-8.145803,-5.7031794,3.7677069757747233e-16,5.870613194811779e-16
0,RERGL,-8.362126,-3.4280515,6.159780843289052e-17,9.66199737626276e-17
0,PPP1R14B,-8.486763,-0.79994166,2.124731217031211e-17,3.3439561771397245e-17
0,CDCA7,-8.699496,-3.6430235,3.3336156034299617e-18,5.281978777056257e-18
0,EFCAB14,-9.060488,-0.13840705,1.2986824246564672e-19,2.0646849395385868e-19
0,CCDC102B,-9.388934,-1.5321375,6.061055045051668e-21,9.735050740168603e-21
0,GREM1,-9.468109,0.08969167,2.8495625589344412e-21,4.592593952372003e-21
0,RBCK1,-9.478527,-0.6184777,2.578981150813303e-21,4.170835033556686e-21
0,GJA4,-9.478624,-2.6826227,2.576570291412018e-21,4.170835033556686e-21
0,PIM1,-9.486194,-0.7009045,2.3962484725503818e-21,3.9022240750907254e-21
0,MFAP5,-9.699703,-2.200608,3.023761238441447e-22,4.941268365257974e-22
0,ZNF831,-9.76585,-3.8901474,1.577831489411329e-22,2.5874229669017946e-22
0,NOD2,-9.784435,-3.173816,1.3132655703955403e-22,2.1611282544403805e-22
0,GZMK,-9.941694,-3.243736,2.7412343364730515e-23,4.526897548612187e-23
0,NXF1,-9.9808035,-0.37355053,1.8496250685844612e-23,3.0652797073007504e-23
0,LACC1,-10.22018,-1.5389037,1.6104292182357133e-24,2.6783379551508847e-24
0,ZFHX3,-10.284208,-0.7195899,8.30219193136208e-25,1.3856683330280483e-24
0,KIT,-10.570821,-3.3418171,4.0691881037044045e-26,6.840319787230702e-26
0,DUT,-10.887966,-0.35014465,1.3154451092989976e-27,2.219222144824568e-27
0,FOS,-10.898019,-0.71550006,1.177939196701914e-27,1.9944169070512552e-27
0,CDH13,-11.0102,-1.4324912,3.412466400767749e-28,5.798720079565488e-28
0,MMP19,-11.019132,-1.5631026,3.0902606011422133e-28,5.270298988857083e-28
0,APOD,-11.029718,-1.1501778,2.747232958884413e-28,4.7023805026160215e-28
0,LAMP3,-11.062015,-3.921963,1.9174173118819053e-28,3.294024612720196e-28
0,RANBP1,-11.106006,-0.4322124,1.1728951917797007e-28,2.022381782884852e-28
0,PHTF1,-11.183756,-1.018913,4.8972329284310415e-29,8.475285031122356e-29
0,CD1C,-11.27814,-3.2889445,1.6826602657139006e-29,2.9228432022956276e-29
0,CXCL10,-11.388023,-3.2958446,4.7974756699553686e-30,8.364372078844118e-30
0,SNRPG,-11.913875,-0.2610139,1.0021042214204736e-32,1.7668679693466244e-32
0,MICB,-12.025261,-3.0116618,2.617583795071832e-33,4.632629433542223e-33
0,MST1R,-12.468395,-2.0819082,1.1103922894650933e-35,1.9726287263603362e-35
0,MUC1,-12.62415,-2.0700543,1.5541083189059674e-36,2.7713946827638733e-36
0,SERPINE1,-12.669909,-2.45229,8.6815490214904e-37,1.5540635462133582e-36
0,RUNX3,-12.727785,-3.957698,4.1443100406328896e-37,7.447055207114272e-37
0,KSR1,-12.930079,-1.0798284,3.0450447378874654e-38,5.513999930769194e-38
0,FLT4,-13.003402,-2.6644754,1.1701946083855964e-38,2.1272142299722663e-38
0,IL1R2,-13.090104,-4.0146065,3.7509111084960925e-39,6.871786366736982e-39
0,PDPN,-13.130858,-0.82296187,2.1915679232291415e-39,4.030766101939087e-39
0,CXCL8,-13.306927,-4.9522643,2.1098211688818593e-40,3.895693418132252e-40
0,RIPK2,-13.380268,-0.75256747,7.88624555765791e-41,1.461916666617217e-40
0,CXCL9,-13.793873,-3.7386203,2.7745434850421976e-43,5.163733708272979e-43
0,LYVE1,-13.864224,-1.3556681,1.0434737830406183e-43,1.9497577858408366e-43
0,CA2,-13.973829,-2.5603178,2.2518485310722177e-44,4.2244678442914803e-44
0,ATOX1,-14.008988,-1.1884726,1.3734687157316105e-44,2.586975211558736e-44
0,IRF6,-14.017482,-4.5600367,1.2186186006612014e-44,2.3045650149600944e-44
0,APOBR,-14.100283,-4.432585,3.782509468715013e-45,7.182173849503406e-45
0,ASH1L,-14.152948,0.10534246,1.790885750463537e-45,3.4143309632821086e-45
0,SLC25A28,-14.211834,-0.7244121,7.737226681282874e-46,1.4811262504170075e-45
0,KLK1,-14.308668,-5.2408113,1.9317720972541376e-46,3.713119318082748e-46
0,PI4K2B,-14.340522,-1.2068067,1.2213416877808346e-46,2.357239718391817e-46
0,TPSAB1,-14.560105,-3.5391257,5.038005044040751e-48,9.76373704816162e-48
0,FOSL2,-14.597467,-0.7650421,2.9147490406323475e-48,5.672270954591581e-48
0,CLEC4A,-14.706248,-1.9924685,5.877730517569222e-49,1.1486065053083187e-48
0,PODXL,-14.738723,-2.0305288,3.6359560572137625e-49,7.164972230391825e-49
0,PPM1G,-14.759882,-0.4907057,2.6574682687500084e-49,5.2588718060917894e-49
0,RASGRP1,-14.846179,-4.15267,7.364886990418474e-50,1.469843403619687e-49
0,CD3D,-14.870868,-4.265993,5.094845774134903e-50,1.0211464393458417e-49
0,GFI1,-15.008928,-4.0281143,6.417581641972844e-51,1.2917793090494694e-50
0,IL32,-15.43626,-3.4814467,9.335904659293718e-54,1.887301416038256e-53
0,PLAUR,-15.488657,-3.2282472,4.138430736902241e-54,8.402268465831824e-54
0,CCL19,-15.62659,-5.586134,4.79803253134598e-55,9.78381416174463e-55
0,KLRB1,-15.743475,-3.6550112,7.614514908677392e-56,1.573219159546122e-55
0,ATG7,-15.754766,-0.8959941,6.369420762528647e-56,1.3217957246132458e-55
0,CCL5,-15.951093,-2.8364706,2.7995448743934326e-57,5.83549576040231e-57
0,ATG12,-16.030338,-0.9814563,7.845379938341038e-58,1.6426264245901548e-57
0,IL1B,-16.154629,-5.2496834,1.0535241396352192e-58,2.2157077196812458e-58
0,MMP9,-16.229937,-5.979871,3.0977855770737165e-59,6.544420881295374e-59
0,NFATC1,-16.302898,-0.9652706,9.412228032598049e-60,1.997436627732346e-59
0,PBX2,-16.333181,-0.2121787,5.731577186889615e-60,1.221868045750559e-59
0,TRIM31,-16.485138,-5.416458,4.692278068727543e-61,1.004875988234346e-60
0,CSF2RA,-16.526972,-3.0397973,2.346407786434988e-61,5.0480057423761895e-61
0,CD34,-16.597122,-0.85488856,7.311245820851439e-62,1.58017248386144e-61
0,RCN3,-16.702784,-1.8211353,1.2509208782992109e-62,2.7161198700107865e-62
0,TYROBP,-16.746218,-3.2023933,6.034328383991392e-63,1.3163255870195175e-62
0,IRF5,-16.947176,-4.1150465,2.0192137028807434e-64,4.467034087976739e-64
0,MUC2,-17.312498,-4.383737,3.7863029863416016e-67,8.496536366479479e-67
0,TBC1D14,-17.788597,-1.1030048,8.66200991132372e-71,1.9531166578898194e-70
0,ADM,-17.801529,-2.1230743,6.8766756080896115e-71,1.5580487247314145e-70
0,ZFP36,-17.833464,0.18063441,3.885902050613288e-71,8.847029425910834e-71
0,XIAP,-18.4659,-0.7211558,3.884904890522105e-76,8.931472517916016e-76
0,PLAU,-18.539394,-2.9007628,9.933313414413235e-77,2.2949379267782303e-76
0,CD79B,-18.545061,-5.571791,8.939928783470843e-77,2.0756567323999138e-76
0,IGFBP6,-18.551554,-1.6381158,7.92291843399704e-77,1.848680967932643e-76
0,CPA3,-18.804005,-3.2566175,7.002391058482519e-79,1.6420607032141508e-78
0,HMGB2,-18.981377,-0.26785454,2.4314034633570847e-80,5.7592334561337005e-80
0,STAT4,-19.087822,-3.387781,3.1878393870748375e-81,7.589323210853293e-81
0,NR5A2,-19.643036,-4.35088,6.631182180904845e-86,1.6031053829094703e-85
0,ADAM15,-19.681318,-1.2623837,3.1178643467603596e-86,7.576571910003153e-86
0,HHEX,-19.973173,-2.5137928,9.427073435458796e-89,2.3027590839740496e-88
0,CCDC3,-20.00009,-1.1546263,5.4974256004282925e-89,1.349891417068518e-88
0,SNRPD1,-20.095156,-0.5056394,8.135845949606974e-90,2.0188951060135824e-89
0,TRAFD1,-20.176886,-0.9062791,1.5629094441244846e-90,3.8989602622041664e-90
0,PIM3,-20.264305,-2.5270123,2.656835766706899e-91,6.663400933612491e-91
0,MMP1,-20.327284,-4.389305,7.377399606335679e-92,1.8602152770814157e-91
0,NRBP1,-20.4223,-0.18626888,1.0595544562902643e-92,2.686113729730454e-92
0,GSDMB,-20.970215,-2.4299963,1.2271092967666214e-97,3.1277948923018774e-97
0,CCL2,-20.980373,-1.3792776,9.911194428562004e-98,2.5400820693964916e-97
0,FAM3D,-21.098213,-5.553325,8.259888444994378e-99,2.1285097146716283e-98
0,VARS,-21.208813,-1.0491263,7.918714256141317e-100,2.0518657381935237e-99
0,CDKN1A,-21.639832,-1.1303185,7.578095244608662e-104,1.9745148165119235e-103
0,UACA,-22.062908,-0.75721955,7.181546563591767e-108,1.88164544040477e-107
0,CD69,-22.07067,-4.674817,6.0490338615107246e-108,1.593818472499174e-107
0,COL1A1,-22.724733,0.51255196,2.551761561059144e-114,6.838720983638505e-114
0,CXCL1,-22.921638,-5.3838105,2.8273768027334263e-116,7.620917933804464e-116
0,SNX20,-23.474888,-4.0705514,7.364402387929772e-122,1.996476716727782e-121
0,PTPN1,-24.240788,-0.8278776,8.270206964672897e-130,2.255073875832319e-129
0,HSP90AA1,-24.266119,0.42065927,4.4693125049774195e-130,1.2257938975639824e-129
0,TRIM56,-24.439726,-1.1706474,6.471751611428775e-132,1.7960068081420685e-131
0,BCL2,-24.574669,-1.6184103,2.3572706639309094e-133,6.580713936807122e-133
0,IDO1,-24.748402,-4.1807675,3.2255898422234374e-135,9.1132628674867e-135
0,SBNO2,-24.782383,-1.982578,1.3884676791247785e-135,3.9466141909667946e-135
